,Crime_ID,Criminal_ID
0,0,18349
1,1,2093
4,4,15519
7,7,473
10,10,21765
11,11,21519
13,13,11655
14,14,16650
15,15,24828
17,17,7321
18,18,195
19,19,9090
21,21,12417
23,23,3931
25,25,19579
26,26,13747
27,27,20646
28,28,10381
29,29,21024
31,31,18350
33,33,22525
34,34,3321
35,35,5962
36,36,18866
38,38,22622
39,39,12509
40,40,12894
41,41,4374
42,42,4351
44,44,11448
45,45,18761
47,47,11435
48,48,23505
49,49,5844
50,50,6447
52,52,2172
53,53,13934
55,55,9455
56,56,19900
57,57,24109
58,58,3836
59,59,20853
61,61,213
62,62,13908
63,63,15292
64,64,23927
65,65,19866
66,66,16220
67,67,9865
68,68,5676
69,69,12237
71,71,7807
72,72,10059
73,73,9880
75,75,11919
76,76,675
77,77,2804
79,79,23971
80,80,13204
81,81,22683
83,83,6582
84,84,7554
85,85,8373
86,86,3164
88,88,8965
89,89,10082
91,91,1407
92,92,3522
93,93,6518
95,95,4216
96,96,1072
97,97,24629
98,98,10707
99,99,12494
103,103,8257
105,105,1173
107,107,21292
108,108,7700
110,110,21413
112,112,22066
113,113,6588
114,114,3473
115,115,20516
116,116,6091
117,117,6718
118,118,14479
119,119,3464
121,121,5814
123,123,24944
125,125,48
126,126,16227
129,129,5884
131,131,17692
133,133,21496
134,134,74
136,136,11496
138,138,21380
140,140,2891
142,142,2667
143,143,16849
144,144,10909
150,150,15650
151,151,2648
152,152,8062
153,153,9766
154,154,17843
155,155,17859
156,156,2413
157,157,12842
158,158,5976
159,159,11929
164,164,9855
165,165,23145
167,167,14667
168,168,108
169,169,24002
170,170,22458
171,171,20577
172,172,4080
173,173,13532
174,174,10070
175,175,10315
176,176,19722
178,178,21087
179,179,12346
180,180,22065
183,183,9303
184,184,9050
185,185,10682
186,186,17064
188,188,4641
189,189,3028
190,190,13851
191,191,10091
192,192,10503
195,195,5160
196,196,3723
199,199,22783
200,200,13836
202,202,8381
203,203,16320
204,204,20424
205,205,22884
206,206,23060
207,207,15710
208,208,19286
209,209,3785
210,210,8884
211,211,20310
213,213,3885
214,214,14461
216,216,15072
217,217,11726
219,219,20966
220,220,13769
221,221,14435
222,222,15193
223,223,22712
224,224,23100
225,225,18898
226,226,12549
227,227,24961
231,231,3598
232,232,21562
233,233,17965
234,234,17343
235,235,10299
237,237,7755
238,238,9126
239,239,21095
240,240,6213
241,241,22512
242,242,11486
243,243,22455
244,244,19838
246,246,8562
247,247,20320
248,248,14101
251,251,23590
253,253,10042
256,256,1440
257,257,3764
258,258,15111
259,259,14770
260,260,16032
261,261,12468
263,263,492
264,264,17014
265,265,16170
267,267,1577
270,270,13666
271,271,11541
273,273,20876
276,276,8699
277,277,22939
278,278,9396
279,279,7532
280,280,13189
282,282,16916
283,283,20769
285,285,12477
286,286,16821
287,287,15801
288,288,7381
289,289,15645
293,293,6345
294,294,22265
295,295,19037
297,297,3966
298,298,4143
299,299,11119
300,300,15474
301,301,14034
303,303,14774
308,308,17712
309,309,24559
314,314,1316
315,315,2979
318,318,9524
322,322,17796
323,323,6680
325,325,18459
328,328,21879
329,329,8654
330,330,7622
332,332,21696
333,333,7959
335,335,24848
337,337,11259
338,338,16945
340,340,21138
341,341,16249
342,342,20508
344,344,13998
345,345,21450
346,346,23400
349,349,73
350,350,10774
351,351,11758
352,352,11475
353,353,4510
356,356,4695
358,358,8317
359,359,19489
360,360,22361
361,361,15277
363,363,17838
366,366,11349
368,368,14746
370,370,7558
371,371,3103
372,372,6320
375,375,15499
377,377,22987
379,379,21642
381,381,21845
382,382,23077
383,383,3044
386,386,9072
388,388,16832
390,390,6608
393,393,19407
394,394,15741
395,395,21064
396,396,12011
397,397,16478
398,398,11528
402,402,160
404,404,5293
405,405,22748
407,407,11333
410,410,7884
412,412,21345
413,413,17212
414,414,3201
416,416,2217
417,417,18423
419,419,4234
420,420,12837
421,421,12116
422,422,24808
423,423,16465
428,428,3763
429,429,19800
434,434,10922
437,437,2578
440,440,20173
441,441,22230
442,442,7581
443,443,19849
444,444,11380
445,445,19291
450,450,8100
452,452,1565
453,453,19775
454,454,14012
459,459,24461
462,462,12235
463,463,11853
464,464,19447
465,465,4767
466,466,19285
467,467,20320
469,469,22665
470,470,21521
472,472,23927
478,478,15525
479,479,17830
480,480,10702
481,481,1123
483,483,10764
485,485,1815
488,488,11836
489,489,9683
491,491,14387
493,493,2552
496,496,3202
499,499,7412
504,504,4770
506,506,13803
507,507,20177
508,508,16611
509,509,10628
510,510,17749
512,512,3441
515,515,11401
520,520,14402
525,525,24341
529,529,21576
532,532,12836
536,536,5751
538,538,14571
541,541,16647
543,543,9061
544,544,19711
548,548,3771
550,550,10352
554,554,10628
556,556,11891
559,559,14276
560,560,15975
561,561,19302
567,567,7519
569,569,14478
572,572,14267
573,573,20828
576,576,4131
579,579,100
580,580,19048
582,582,8712
583,583,5579
584,584,19772
586,586,16025
587,587,3550
588,588,7050
589,589,21718
590,590,14093
591,591,15801
593,593,24557
594,594,18315
596,596,5128
597,597,2064
601,601,13083
603,603,4487
605,605,8913
606,606,15808
607,607,24667
608,608,22370
609,609,21045
610,610,5762
611,611,3854
612,612,16865
613,613,15459
614,614,17866
616,616,17922
617,617,15413
618,618,5010
621,621,10996
622,622,10659
623,623,16507
625,625,22535
628,628,9434
632,632,2960
639,639,17315
641,641,11600
643,643,1758
646,646,3390
649,649,13704
650,650,6260
653,653,13207
657,657,11983
658,658,17187
659,659,20475
660,660,21663
661,661,7210
664,664,16306
665,665,5494
669,669,19153
673,673,8208
675,675,10799
677,677,8871
678,678,4373
679,679,20829
680,680,3311
681,681,14038
684,684,22320
687,687,817
688,688,5511
689,689,4465
690,690,2119
692,692,21199
694,694,9991
695,695,21379
699,699,19297
700,700,5602
701,701,21399
703,703,19698
704,704,23133
705,705,16006
706,706,14457
709,709,14186
712,712,1196
715,715,11377
717,717,1720
718,718,5086
721,721,14829
722,722,8555
724,724,12705
725,725,14893
729,729,15563
730,730,3548
733,733,47
734,734,7629
735,735,18083
737,737,21763
738,738,18915
740,740,4101
741,741,9031
742,742,17940
745,745,3765
747,747,1994
750,750,12479
751,751,11552
755,755,13542
756,756,20182
757,757,22809
758,758,6639
759,759,2969
760,760,15798
761,761,19721
762,762,941
763,763,22369
764,764,20916
767,767,12509
773,773,12569
774,774,9144
778,778,18810
779,779,11878
780,780,4300
782,782,96
783,783,18427
784,784,13711
785,785,17978
787,787,18052
788,788,5902
791,791,22430
792,792,4329
793,793,5589
796,796,16074
797,797,7934
799,799,4870
800,800,23315
801,801,2873
802,802,20045
803,803,11937
804,804,22505
805,805,10743
807,807,6249
808,808,5880
809,809,4032
810,810,3384
811,811,17444
812,812,18624
813,813,8745
815,815,18534
816,816,2041
817,817,23255
818,818,3242
819,819,4109
820,820,16131
822,822,19097
823,823,10267
824,824,6372
825,825,1441
827,827,5580
829,829,17003
