
,Crime_ID,Description,DateTime,NID
0,0,Theft from Vehicle,"2003/11/22, 17:30",7.0
1,1,Theft from Vehicle,"2003/2/20, 13:20",6.0
4,4,Theft of Vehicle,"2003/3/9, 22:0",7.0
7,7,Theft from Vehicle,"2003/6/19, 5:17",18.0
10,10,Break and Enter Residential/Other,"2003/4/14, 9:0",5.0
11,11,Break and Enter Residential/Other,"2003/1/20, 1:0",9.0
13,13,Theft of Vehicle,"2003/3/8, 16:30",7.0
14,14,Theft from Vehicle,"2003/4/26, 20:0",6.0
15,15,Theft of Vehicle,"2003/11/25, 22:0",12.0
17,17,Break and Enter Commercial,"2003/9/26, 2:30",23.0
18,18,Theft of Vehicle,"2003/2/21, 19:30",7.0
19,19,Break and Enter Residential/Other,"2003/2/4, 23:0",7.0
21,21,Theft of Vehicle,"2003/10/13, 21:30",12.0
23,23,Theft of Vehicle,"2003/8/30, 14:30",12.0
25,25,Theft from Vehicle,"2003/1/1, 12:0",19.0
26,26,Theft of Vehicle,"2003/8/30, 19:0",8.0
27,27,Mischief,"2003/5/21, 18:0",11.0
28,28,Theft from Vehicle,"2003/10/13, 16:0",7.0
29,29,Break and Enter Residential/Other,"2003/5/7, 23:0",8.0
31,31,Theft of Vehicle,"2003/6/10, 21:20",12.0
33,33,Theft of Vehicle,"2003/1/7, 17:30",12.0
34,34,Theft from Vehicle,"2003/2/4, 18:30",8.0
35,35,Theft of Vehicle,"2003/7/18, 22:30",8.0
36,36,Theft of Bicycle,"2003/1/14, 13:0",20.0
38,38,Theft from Vehicle,"2003/1/30, 8:30",16.0
39,39,Theft of Vehicle,"2003/2/27, 16:30",23.0
40,40,Theft of Bicycle,"2003/12/22, 21:0",20.0
41,41,Break and Enter Residential/Other,"2003/8/20, 17:0",16.0
42,42,Theft from Vehicle,"2003/7/21, 21:0",16.0
44,44,Mischief,"2003/11/29, 23:30",20.0
45,45,Mischief,"2003/7/18, 0:0",18.0
47,47,Theft of Vehicle,"2003/11/18, 21:30",8.0
48,48,Break and Enter Residential/Other,"2003/1/19, 19:30",16.0
49,49,Theft from Vehicle,"2003/11/6, 18:0",23.0
50,50,Theft of Bicycle,"2003/9/9, 1:0",20.0
52,52,Other Theft,"2003/11/15, 9:52",10.0
53,53,Theft from Vehicle,"2003/10/4, 19:0",23.0
55,55,Break and Enter Residential/Other,"2003/12/29, 18:20",13.0
56,56,Theft of Vehicle,"2003/7/13, 22:30",23.0
57,57,Theft of Vehicle,"2003/5/14, 0:0",23.0
58,58,Theft of Vehicle,"2003/4/29, 21:30",23.0
59,59,Mischief,"2003/4/29, 12:0",10.0
61,61,Theft from Vehicle,"2003/10/13, 11:24",23.0
62,62,Theft from Vehicle,"2003/6/22, 15:0",16.0
63,63,Other Theft,"2003/11/18, 11:36",10.0
64,64,Mischief,"2003/2/18, 22:0",5.0
65,65,Theft from Vehicle,"2003/1/25, 12:0",16.0
66,66,Theft from Vehicle,"2003/10/14, 5:3",6.0
67,67,Theft from Vehicle,"2003/1/11, 22:0",23.0
68,68,Theft of Vehicle,"2003/8/21, 20:0",8.0
69,69,Theft of Vehicle,"2003/3/10, 18:0",8.0
71,71,Theft from Vehicle,"2003/11/2, 18:0",23.0
72,72,Theft from Vehicle,"2003/9/10, 14:30",6.0
73,73,Break and Enter Commercial,"2003/5/14, 1:0",23.0
75,75,Theft of Vehicle,"2003/4/1, 2:0",23.0
76,76,Theft from Vehicle,"2003/5/28, 0:0",23.0
77,77,Theft of Vehicle,"2003/2/26, 11:0",12.0
79,79,Theft of Vehicle,"2003/3/30, 0:1",23.0
80,80,Break and Enter Commercial,"2003/12/25, 5:55",23.0
81,81,Theft of Vehicle,"2003/3/21, 0:20",23.0
83,83,Theft of Vehicle,"2003/1/27, 5:0",23.0
84,84,Theft from Vehicle,"2003/6/18, 9:0",14.0
85,85,Theft from Vehicle,"2003/5/13, 16:30",6.0
86,86,Theft of Vehicle,"2003/1/11, 19:0",23.0
88,88,Theft from Vehicle,"2003/9/2, 21:0",6.0
89,89,Theft from Vehicle,"2003/8/24, 21:0",6.0
91,91,Mischief,"2003/7/16, 23:40",11.0
92,92,Theft of Bicycle,"2003/7/29, 17:15",5.0
93,93,Theft of Vehicle,"2003/5/15, 19:0",23.0
95,95,Theft of Bicycle,"2003/10/26, 0:0",17.0
96,96,Theft from Vehicle,"2003/12/14, 22:0",16.0
97,97,Mischief,"2003/1/1, 1:45",12.0
98,98,Theft from Vehicle,"2003/8/10, 23:55",6.0
99,99,Theft from Vehicle,"2003/4/28, 3:0",16.0
103,103,Theft of Vehicle,"2003/8/10, 21:0",16.0
105,105,Theft from Vehicle,"2003/7/25, 19:30",19.0
107,107,Break and Enter Residential/Other,"2003/10/20, 1:30",7.0
108,108,Break and Enter Residential/Other,"2003/11/8, 15:0",16.0
110,110,Break and Enter Residential/Other,"2003/8/22, 1:30",16.0
112,112,Other Theft,"2003/12/20, 13:5",10.0
113,113,Theft of Vehicle,"2003/11/15, 12:0",23.0
114,114,Theft from Vehicle,"2003/5/19, 11:0",16.0
115,115,Mischief,"2003/5/10, 4:38",14.0
116,116,Theft from Vehicle,"2003/6/23, 20:0",20.0
117,117,Mischief,"2003/7/3, 21:0",20.0
118,118,Theft from Vehicle,"2003/7/26, 22:10",6.0
119,119,Mischief,"2003/12/14, 15:0",16.0
121,121,Break and Enter Residential/Other,"2003/10/7, 13:0",16.0
123,123,Other Theft,"2003/8/15, 18:50",9.0
125,125,Mischief,"2003/1/1, 22:30",11.0
126,126,Theft from Vehicle,"2003/8/20, 21:0",23.0
129,129,Theft from Vehicle,"2003/10/25, 10:0",23.0
131,131,Break and Enter Residential/Other,"2003/1/15, 20:40",9.0
133,133,Other Theft,"2003/3/2, 21:45",23.0
134,134,Other Theft,"2003/9/17, 0:15",23.0
136,136,Theft from Vehicle,"2003/3/24, 17:30",20.0
138,138,Break and Enter Residential/Other,"2003/2/25, 10:30",14.0
140,140,Theft of Vehicle,"2003/8/30, 22:0",14.0
142,142,Break and Enter Residential/Other,"2003/11/12, 6:30",16.0
143,143,Theft of Vehicle,"2003/5/9, 23:50",8.0
144,144,Theft of Vehicle,"2003/12/18, 1:0",18.0
150,150,Theft from Vehicle,"2003/11/1, 16:0",23.0
151,151,Mischief,"2003/8/1, 20:45",21.0
152,152,Break and Enter Residential/Other,"2003/11/24, 15:0",8.0
153,153,Theft from Vehicle,"2003/1/12, 12:0",6.0
154,154,Theft from Vehicle,"2003/9/21, 22:30",20.0
155,155,Theft from Vehicle,"2003/1/19, 21:0",6.0
156,156,Theft of Vehicle,"2003/9/1, 23:25",8.0
157,157,Mischief,"2003/1/26, 3:31",20.0
158,158,Break and Enter Residential/Other,"2003/3/5, 10:0",14.0
159,159,Mischief,"2003/8/1, 21:0",21.0
164,164,Break and Enter Residential/Other,"2003/1/30, 1:30",16.0
165,165,Theft of Bicycle,"2003/5/1, 18:0",17.0
167,167,Theft of Vehicle,"2003/10/27, 23:0",8.0
168,168,Mischief,"2003/7/15, 22:30",20.0
169,169,Theft of Bicycle,"2003/7/15, 20:0",9.0
170,170,Theft of Bicycle,"2003/2/7, 19:0",9.0
171,171,Theft of Vehicle,"2003/2/16, 16:0",8.0
172,172,Mischief,"2003/2/2, 2:0",17.0
173,173,Theft from Vehicle,"2003/6/17, 20:30",7.0
174,174,Theft of Vehicle,"2003/5/30, 8:35",14.0
175,175,Theft of Vehicle,"2003/4/27, 0:1",14.0
176,176,Theft from Vehicle,"2003/3/26, 19:0",16.0
178,178,Theft of Vehicle,"2003/4/8, 18:0",14.0
179,179,Theft of Vehicle,"2003/1/24, 22:30",14.0
180,180,Theft from Vehicle,"2003/10/18, 17:0",23.0
183,183,Break and Enter Residential/Other,"2003/3/5, 12:0",12.0
184,184,Theft from Vehicle,"2003/7/13, 3:10",14.0
185,185,Mischief,"2003/10/1, 21:30",23.0
186,186,Break and Enter Residential/Other,"2003/8/12, 18:0",18.0
188,188,Theft of Vehicle,"2003/4/23, 23:0",8.0
189,189,Break and Enter Residential/Other,"2003/5/22, 23:0",7.0
190,190,Break and Enter Residential/Other,"2003/8/10, 0:0",7.0
191,191,Break and Enter Residential/Other,"2003/9/27, 7:45",7.0
192,192,Mischief,"2003/4/23, 0:0",20.0
195,195,Theft from Vehicle,"2003/1/23, 7:50",20.0
196,196,Theft from Vehicle,"2003/3/1, 12:0",6.0
199,199,Break and Enter Commercial,"2003/4/8, 4:45",23.0
200,200,Break and Enter Residential/Other,"2003/6/18, 3:0",16.0
202,202,Theft from Vehicle,"2003/11/19, 7:24",20.0
203,203,Theft of Bicycle,"2003/6/6, 8:35",14.0
204,204,Theft of Bicycle,"2003/4/28, 21:0",17.0
205,205,Theft of Vehicle,"2003/10/21, 12:0",14.0
206,206,Theft from Vehicle,"2003/10/15, 9:0",23.0
207,207,Theft of Vehicle,"2003/6/24, 17:45",14.0
208,208,Theft of Vehicle,"2003/2/13, 3:0",14.0
209,209,Theft of Vehicle,"2003/5/1, 18:35",14.0
210,210,Theft of Vehicle,"2003/2/13, 13:15",14.0
211,211,Theft from Vehicle,"2003/8/15, 0:1",10.0
213,213,Theft of Bicycle,"2003/4/28, 18:10",14.0
214,214,Break and Enter Residential/Other,"2003/10/5, 0:10",7.0
216,216,Mischief,"2003/6/24, 15:0",20.0
217,217,Theft from Vehicle,"2003/5/10, 23:0",23.0
219,219,Break and Enter Residential/Other,"2003/1/12, 11:0",18.0
220,220,Theft of Vehicle,"2003/12/23, 18:30",6.0
221,221,Theft of Vehicle,"2003/10/17, 21:30",20.0
222,222,Theft of Vehicle,"2003/1/29, 19:0",6.0
223,223,Break and Enter Commercial,"2003/6/21, 20:30",23.0
224,224,Break and Enter Residential/Other,"2003/2/13, 14:0",16.0
225,225,Break and Enter Residential/Other,"2003/11/26, 12:0",16.0
226,226,Mischief,"2003/4/1, 7:0",10.0
227,227,Theft from Vehicle,"2003/8/9, 0:0",23.0
231,231,Theft from Vehicle,"2003/9/17, 21:0",23.0
232,232,Theft of Vehicle,"2003/8/28, 22:0",20.0
233,233,Theft of Vehicle,"2003/5/1, 21:0",20.0
234,234,Theft of Vehicle,"2003/7/9, 18:0",9.0
235,235,Theft of Vehicle,"2003/8/1, 17:30",8.0
237,237,Theft of Vehicle,"2003/11/9, 19:0",20.0
238,238,Mischief,"2003/5/15, 0:0",15.0
239,239,Theft of Vehicle,"2003/10/18, 21:0",8.0
240,240,Theft from Vehicle,"2003/5/9, 16:0",6.0
241,241,Break and Enter Residential/Other,"2003/12/7, 9:0",7.0
242,242,Theft from Vehicle,"2003/5/22, 9:0",8.0
243,243,Theft from Vehicle,"2003/11/9, 16:0",16.0
244,244,Theft of Vehicle,"2003/8/26, 22:45",18.0
246,246,Mischief,"2003/4/26, 2:55",14.0
247,247,Theft of Vehicle,"2003/1/5, 22:30",16.0
248,248,Break and Enter Residential/Other,"2003/2/5, 16:59",7.0
251,251,Mischief,"2003/8/22, 22:0",14.0
253,253,Theft of Vehicle,"2003/1/5, 19:20",16.0
256,256,Theft from Vehicle,"2003/11/11, 20:0",8.0
257,257,Other Theft,"2003/3/22, 13:15",23.0
258,258,Break and Enter Residential/Other,"2003/4/4, 17:0",8.0
259,259,Break and Enter Residential/Other,"2003/4/12, 3:0",8.0
260,260,Theft of Vehicle,"2003/3/26, 12:0",7.0
261,261,Theft from Vehicle,"2003/6/5, 22:0",20.0
263,263,Theft of Vehicle,"2003/1/30, 18:0",9.0
264,264,Break and Enter Residential/Other,"2003/3/9, 19:45",8.0
265,265,Break and Enter Commercial,"2003/4/16, 17:0",20.0
267,267,Theft of Bicycle,"2003/4/27, 20:30",5.0
270,270,Theft from Vehicle,"2003/11/1, 1:0",6.0
271,271,Mischief,"2003/11/8, 22:0",14.0
273,273,Theft from Vehicle,"2003/5/17, 8:15",6.0
276,276,Other Theft,"2003/6/13, 16:45",23.0
277,277,Theft from Vehicle,"2003/2/27, 18:48",10.0
278,278,Break and Enter Commercial,"2003/3/15, 4:31",7.0
279,279,Theft from Vehicle,"2003/6/8, 7:0",23.0
280,280,Break and Enter Residential/Other,"2003/3/31, 23:0",14.0
282,282,Theft from Vehicle,"2003/10/13, 20:0",23.0
283,283,Mischief,"2003/12/14, 0:0",14.0
285,285,Break and Enter Residential/Other,"2003/10/20, 3:10",7.0
286,286,Theft from Vehicle,"2003/5/15, 8:30",23.0
287,287,Break and Enter Residential/Other,"2003/9/23, 2:14",7.0
288,288,Break and Enter Commercial,"2003/5/22, 4:13",7.0
289,289,Break and Enter Commercial,"2003/9/30, 0:30",7.0
293,293,Theft from Vehicle,"2003/10/26, 12:0",23.0
294,294,Theft from Vehicle,"2003/11/20, 22:0",6.0
295,295,Theft of Vehicle,"2003/10/3, 21:30",6.0
297,297,Break and Enter Commercial,"2003/4/17, 4:1",7.0
298,298,Break and Enter Commercial,"2003/12/20, 4:11",7.0
299,299,Theft of Vehicle,"2003/5/7, 20:30",23.0
300,300,Mischief,"2003/1/5, 4:40",6.0
301,301,Theft of Vehicle,"2003/8/7, 22:0",14.0
303,303,Theft from Vehicle,"2003/5/27, 6:30",6.0
308,308,Theft of Vehicle,"2003/5/11, 19:0",6.0
309,309,Theft from Vehicle,"2003/7/19, 3:30",14.0
314,314,Theft of Vehicle,"2003/4/27, 8:30",14.0
315,315,Theft of Vehicle,"2003/11/14, 18:0",9.0
318,318,Theft of Vehicle,"2003/2/3, 0:1",8.0
322,322,Theft from Vehicle,"2003/11/5, 3:50",23.0
323,323,Mischief,"2003/8/1, 20:30",11.0
325,325,Mischief,"2003/12/15, 14:30",14.0
328,328,Theft of Vehicle,"2003/6/17, 0:0",6.0
329,329,Theft of Bicycle,"2003/8/3, 22:0",23.0
330,330,Theft of Vehicle,"2003/6/15, 21:0",6.0
332,332,Theft of Vehicle,"2003/1/15, 11:0",6.0
333,333,Mischief,"2003/12/19, 23:0",14.0
335,335,Theft of Vehicle,"2003/3/26, 17:0",23.0
337,337,Theft of Vehicle,"2003/9/24, 12:0",6.0
338,338,Theft of Vehicle,"2003/4/30, 17:0",6.0
340,340,Mischief,"2003/1/3, 0:1",11.0
341,341,Theft of Vehicle,"2003/7/7, 18:0",8.0
342,342,Theft from Vehicle,"2003/6/28, 5:51",8.0
344,344,Theft of Vehicle,"2003/1/5, 22:0",8.0
345,345,Theft of Bicycle,"2003/5/18, 15:45",16.0
346,346,Theft from Vehicle,"2003/4/27, 18:0",6.0
349,349,Break and Enter Residential/Other,"2003/6/25, 18:0",12.0
350,350,Break and Enter Residential/Other,"2003/12/1, 0:0",12.0
