,Unnamed: 0,Criminal_ID,Age,Height,Hair_Color,NID
0,0,1,36,186,Green,22
1,1,2,47,177,Black,22
2,2,3,33,167,Black,4
3,3,4,30,186,Brown,9
4,4,5,37,175,Brown,13
5,5,6,27,181,Green,14
6,6,7,19,185,Green,19
7,7,8,34,166,Brown,8
8,8,9,22,168,Black,20
9,9,10,51,184,Brown,12
10,10,11,36,186,Green,14
11,11,12,36,186,Brown,11
12,12,13,23,177,Black,23
13,13,14,39,182,Black,15
14,14,15,22,181,Brown,3
15,15,16,54,175,Black,15
16,16,17,43,181,Black,22
17,17,18,27,169,Black,20
18,18,19,27,173,Black,23
19,19,20,33,172,Green,21
20,20,21,22,175,Brown,10
21,21,22,44,167,Brown,12
22,22,23,18,186,Brown,14
23,23,24,44,176,Black,14
24,24,25,22,168,Black,23
25,25,26,49,179,Green,15
26,26,27,44,170,Black,18
27,27,28,37,172,Black,8
28,28,29,51,165,Black,19
29,29,30,26,183,Black,13
30,30,31,46,172,Black,23
31,31,32,48,179,Brown,5
32,32,33,30,174,Green,11
33,33,34,32,176,Green,6
34,34,35,50,180,Green,10
35,35,36,42,185,Green,9
36,36,37,37,165,Green,20
37,37,38,30,173,Brown,5
38,38,39,19,170,Black,19
39,39,40,25,176,Black,8
40,40,41,54,187,Black,23
41,41,42,30,181,Black,14
42,42,43,43,186,Brown,9
43,43,44,50,169,Green,23
44,44,45,37,178,Green,9
45,45,46,35,176,Brown,23
46,46,47,45,184,Green,13
47,47,48,36,177,Brown,14
48,48,49,41,178,Brown,23
49,49,50,29,170,Black,22
50,50,51,23,183,Black,19
51,51,52,38,173,Black,7
52,52,53,43,173,Brown,8
53,53,54,24,181,Brown,20
54,54,55,49,175,Black,15
55,55,56,39,182,Green,23
56,56,57,32,178,Black,9
57,57,58,43,186,Green,12
58,58,59,31,175,Green,7
59,59,60,40,182,Green,23
60,60,61,54,177,Brown,4
61,61,62,20,185,Green,23
62,62,63,40,185,Green,12
63,63,64,53,179,Green,5
64,64,65,18,175,Black,19
65,65,66,26,183,Black,19
66,66,67,42,179,Green,10
67,67,68,51,179,Green,11
68,68,69,28,166,Black,5
69,69,70,49,179,Brown,3
70,70,71,50,172,Green,10
71,71,72,51,181,Brown,16
72,72,73,31,168,Black,10
73,73,74,53,179,Green,21
74,74,75,45,168,Black,16
75,75,76,35,185,Green,18
76,76,77,34,170,Black,22
77,77,78,37,166,Green,5
78,78,79,27,178,Brown,23
79,79,80,43,176,Black,13
80,80,81,40,181,Green,3
81,81,82,29,186,Green,7
82,82,83,39,171,Black,5
83,83,84,21,166,Black,23
84,84,85,21,179,Green,23
85,85,86,49,166,Green,14
86,86,87,34,168,Green,16
87,87,88,45,169,Black,20
88,88,89,19,176,Brown,9
89,89,90,23,170,Brown,5
90,90,91,38,178,Green,5
91,91,92,46,165,Black,8
92,92,93,42,165,Brown,16
