,Demographic_ID,Pri_Lang,Sec_Lang,Thir_Lang,Population,Num_Old,Num_Young,Neighbourhood_ID
0,0,      English,            Mandarin,            Cantonese,15310.0,8960.0,6350.0,0
1,1,      English,            Mandarin,              Persian (Farsi),62025.0,27620.0,34405.0,1
2,2,      English,            Mandarin,            Cantonese,21425.0,11765.0,9660.0,2
3,3,      English,            Cantonese,            Mandarin,33615.0,16920.0,16695.0,3
4,4,      English,            Cantonese,            Spanish,29175.0,13605.0,15570.0,4
5,5,      English,            Cantonese,          Vietnamese,34570.0,18300.0,16270.0,5
6,6,      English,            Cantonese,"          Tagalog (Pilipino, Filipino)",49315.0,23815.0,25500.0,6
7,7,      English,            Mandarin,            Cantonese,13975.0,7890.0,6085.0,7
8,8,      English,            Cantonese,            Mandarin,29320.0,16015.0,13305.0,8
9,9,      English,            Mandarin,      French,43050.0,20040.0,23010.0,9
10,10,      English,            Cantonese,            Mandarin,24470.0,12830.0,11640.0,10
11,11,      English,            Cantonese,"          Tagalog (Pilipino, Filipino)",32960.0,13005.0,19955.0,11
12,12,      English,            Cantonese,            Mandarin,13015.0,7205.0,5810.0,12
13,13,      English,            Cantonese,"          Tagalog (Pilipino, Filipino)",51535.0,25775.0,25760.0,13
14,14,      English,            Cantonese,            Mandarin,22540.0,11015.0,11525.0,14
15,15,      English,            Mandarin,            Cantonese,8445.0,4690.0,3755.0,15
16,16,      English,            Cantonese,            Mandarin,7965.0,4000.0,3965.0,16
17,17,      English,            Cantonese,            Mandarin,12580.0,7765.0,4815.0,17
18,18,      English,              Punjabi (Panjabi),            Cantonese,36495.0,17605.0,18890.0,18
19,19,            Cantonese,      English,"          Tagalog (Pilipino, Filipino)",31085.0,17100.0,13985.0,19
20,20,      English,            Spanish,              Persian (Farsi),47195.0,22280.0,24915.0,20
21,21,      English,            Mandarin,            Cantonese,13070.0,7075.0,5995.0,21
22,22,      English,            Cantonese,            Mandarin,631490.0,314440.0,317050.0,22
23,23,      English,            Cantonese,            Mandarin,2463435.0,1261255.0,1202180.0,23
