,Crime_ID,Name,Description
0,0,Audi,2012 Yellow Audi
1,1,Nissan,2007 Black Nissan
4,4,Honda,2017 Black Honda
7,7,Caravan,2003 Red Caravan
13,13,Caravan,2006 Black Caravan
14,14,Mercedes-Benz,2017 White Mercedes-Benz
15,15,BMW,2003 Red BMW
18,18,Caravan,2008 Yellow Caravan
21,21,Mercedes-Benz,2004 Black Mercedes-Benz
23,23,Caravan,2010 Black Caravan
25,25,Subaru,2016 Yellow Subaru
26,26,Subaru,2015 Red Subaru
28,28,Subaru,2010 Black Subaru
31,31,Subaru,2008 Red Subaru
33,33,Honda,2005 Yellow Honda
34,34,Mercedes-Benz,2010 Black Mercedes-Benz
35,35,Audi,2013 Red Audi
36,36,BC Bike,2007 Yellow BC Bike
38,38,Toyota,2011 Yellow Toyota
39,39,Nissan,2014 Red Nissan
40,40,Garneau,2001 White Garneau
42,42,Nissan,2007 Yellow Nissan
47,47,Toyota,2010 Yellow Toyota
49,49,Mercedes-Benz,2011 Red Mercedes-Benz
50,50,Giant,2013 Yellow Giant
52,52,Cash,2001 Black Cash
53,53,Nissan,2002 Red Nissan
56,56,Audi,2004 White Audi
57,57,Toyota,2013 Black Toyota
58,58,Honda,2004 Yellow Honda
61,61,Audi,2008 Yellow Audi
62,62,Hyundai,2002 White Hyundai
63,63,Hoodie,2003 Yellow Hoodie
65,65,Subaru,2016 White Subaru
66,66,Toyota,2012 Red Toyota
67,67,BMW,2008 Yellow BMW
68,68,Hyundai,2008 Black Hyundai
69,69,Toyota,2001 Red Toyota
71,71,Nissan,2015 Yellow Nissan
72,72,Toyota,2014 Black Toyota
75,75,Caravan,2005 Red Caravan
76,76,Nissan,2008 White Nissan
77,77,Caravan,2003 Yellow Caravan
79,79,Toyota,2009 Red Toyota
81,81,Hyundai,2011 Red Hyundai
83,83,BMW,2016 Yellow BMW
84,84,Honda,2010 Black Honda
85,85,Hyundai,2012 Yellow Hyundai
86,86,BMW,2002 Black BMW
88,88,Audi,2003 Yellow Audi
89,89,Audi,2010 White Audi
92,92,NORCO,2013 White NORCO
93,93,Honda,2014 Black Honda
95,95,BC Bike,2006 White BC Bike
96,96,Toyota,2007 Red Toyota
98,98,Nissan,2006 Yellow Nissan
99,99,Honda,2009 White Honda
103,103,Honda,2016 Yellow Honda
105,105,Toyota,2001 Red Toyota
112,112,Backpack,2008 Red Backpack
113,113,Hyundai,2003 Yellow Hyundai
114,114,Honda,2001 Yellow Honda
116,116,Audi,2002 Yellow Audi
118,118,Nissan,2016 Yellow Nissan
123,123,Cash,2001 White Cash
126,126,Audi,2016 Red Audi
129,129,Mercedes-Benz,2000 Yellow Mercedes-Benz
133,133,Purse,2015 Red Purse
134,134,Wallet,2012 White Wallet
136,136,Audi,2002 Black Audi
140,140,Nissan,2000 Yellow Nissan
143,143,Toyota,2012 Black Toyota
144,144,Mercedes-Benz,2006 White Mercedes-Benz
150,150,Honda,2010 Red Honda
153,153,Mercedes-Benz,2001 Red Mercedes-Benz
154,154,Hyundai,2006 White Hyundai
155,155,Hyundai,2009 Red Hyundai
156,156,Audi,2017 White Audi
165,165,BC Bike,2011 Red BC Bike
167,167,Mercedes-Benz,2005 Yellow Mercedes-Benz
169,169,Garneau,2015 White Garneau
170,170,T-Lab,2006 Black T-Lab
171,171,Caravan,2014 Black Caravan
173,173,Subaru,2017 Black Subaru
174,174,Honda,2001 White Honda
175,175,Nissan,2003 Yellow Nissan
176,176,Honda,2009 Yellow Honda
178,178,Honda,2012 Red Honda
179,179,Honda,2011 Red Honda
180,180,Toyota,2001 Black Toyota
184,184,Audi,2012 Yellow Audi
188,188,Audi,2009 Black Audi
195,195,Nissan,2013 Red Nissan
196,196,Audi,2011 Black Audi
202,202,Caravan,2011 Red Caravan
203,203,T-Lab,2017 Yellow T-Lab
204,204,NORCO,2016 Yellow NORCO
205,205,Nissan,2010 Yellow Nissan
206,206,Subaru,2003 Yellow Subaru
207,207,Audi,2011 White Audi
208,208,Honda,2007 Red Honda
209,209,Hyundai,2003 White Hyundai
210,210,Toyota,2002 Red Toyota
211,211,Toyota,2012 Yellow Toyota
213,213,Ducatti,2005 White Ducatti
217,217,Mercedes-Benz,2015 Red Mercedes-Benz
220,220,Hyundai,2009 Black Hyundai
221,221,Mercedes-Benz,2011 Yellow Mercedes-Benz
222,222,Audi,2014 Black Audi
227,227,BMW,2016 White BMW
231,231,Caravan,2003 Red Caravan
232,232,Toyota,2008 Yellow Toyota
233,233,Honda,2011 Red Honda
234,234,BMW,2000 Red BMW
235,235,Toyota,2010 Red Toyota
237,237,Caravan,2016 White Caravan
239,239,Toyota,2003 Yellow Toyota
240,240,Toyota,2017 Red Toyota
242,242,Nissan,2017 Black Nissan
243,243,Toyota,2013 Red Toyota
244,244,Honda,2001 Black Honda
247,247,Nissan,2007 Red Nissan
