,Crime_ID,Theft_Type
0,0,Theft from Vehicle
1,1,Theft from Vehicle
3,4,Theft of Vehicle
6,7,Theft from Vehicle
9,13,Theft of Vehicle
10,14,Theft from Vehicle
11,15,Theft of Vehicle
13,18,Theft of Vehicle
14,21,Theft of Vehicle
15,23,Theft of Vehicle
17,25,Theft from Vehicle
18,26,Theft of Vehicle
19,28,Theft from Vehicle
21,31,Theft of Vehicle
22,33,Theft of Vehicle
23,34,Theft from Vehicle
24,35,Theft of Vehicle
25,36,Theft of Bicycle
26,38,Theft from Vehicle
27,39,Theft of Vehicle
28,40,Theft of Bicycle
29,42,Theft from Vehicle
31,47,Theft of Vehicle
32,49,Theft from Vehicle
33,50,Theft of Bicycle
35,52,Other Theft
36,53,Theft from Vehicle
38,56,Theft of Vehicle
39,57,Theft of Vehicle
40,58,Theft of Vehicle
41,61,Theft from Vehicle
42,62,Theft from Vehicle
43,63,Other Theft
44,65,Theft from Vehicle
45,66,Theft from Vehicle
46,67,Theft from Vehicle
47,68,Theft of Vehicle
48,69,Theft of Vehicle
50,71,Theft from Vehicle
51,72,Theft from Vehicle
53,75,Theft of Vehicle
54,76,Theft from Vehicle
55,77,Theft of Vehicle
57,79,Theft of Vehicle
58,81,Theft of Vehicle
59,83,Theft of Vehicle
60,84,Theft from Vehicle
61,85,Theft from Vehicle
62,86,Theft of Vehicle
64,88,Theft from Vehicle
65,89,Theft from Vehicle
67,92,Theft of Bicycle
68,93,Theft of Vehicle
70,95,Theft of Bicycle
71,96,Theft from Vehicle
72,98,Theft from Vehicle
73,99,Theft from Vehicle
76,103,Theft of Vehicle
78,105,Theft from Vehicle
81,112,Other Theft
82,113,Theft of Vehicle
83,114,Theft from Vehicle
84,116,Theft from Vehicle
85,118,Theft from Vehicle
86,123,Other Theft
88,126,Theft from Vehicle
89,129,Theft from Vehicle
92,133,Other Theft
93,134,Other Theft
94,136,Theft from Vehicle
97,140,Theft of Vehicle
98,143,Theft of Vehicle
99,144,Theft of Vehicle
105,150,Theft from Vehicle
