"NID","n_name","lat","lon","num_crimes"
5,"Dunbar-Southlands",49.249951,-123.185194,773
6,"Fairview",49.266031,-123.12893999999999,3476
7,"Grandview-Woodland",49.269723,-123.069708,3140
8,"Hastings-Sunrise",49.281126,-123.044077,1879
9,"Kensington-Cedar Cottage",49.248402,-123.07012659999998,2230
10,"Kerrisdale",49.2341326,-123.155351,628
11,"Killarney",49.224703999999996,-123.0410631,959
12,"Kitsilano",49.270936999999996,-123.16214199999999,2949
13,"Marpole",49.210724,-123.130187,1233
14,"Mount Pleasant",49.258266299999995,-123.10818020000002,2403
15,"Oakridge",49.229786,-123.1162,657
16,"Renfrew-Collingwood",49.241065899999995,-123.03875500000001,2326
17,"Riley Park",49.240486,-123.101472,1136
18,"Shaughnessy",49.24533659999999,-123.14132350000001,519
19,"South Cambie",49.2451598,-123.12078559999999,528
20,"Strathcona",49.27375199999999,-123.08847450000002,1799
21,"Sunset",49.219011,-123.1094746,1913
23,"West End",49.285646,-123.1306209,4773
